ideaID,content,cond,creativity,earlyLate,theme,inspID,novelty,timeStamp,authorID,value
mWfKLcKzBhQYajR7E,talk to friends,Treatment,22.5,Early,Do you think giving an example of instances where someone said your name wrong/right would help?,4RafdygDw7eLBFqNv,4.5,266.241,A3M0SNX8AWC6MR,5
o494fomi2iGvgryCH,find people you know,Treatment,14,Late,Do you think giving an example of instances where someone said your name wrong/right would help?,4RafdygDw7eLBFqNv,3.5,403.315,A3V8LMWV8GMRFB,4
QA252nB2c6v8vaaEm,with mental pictures,Treatment,6,Early,Do you think giving an example of instances where someone said your name wrong/right would help?,4RafdygDw7eLBFqNv,3,159.378,AKBA41GHW86JD,2
vaDdLJ4tQqfN7pDes,say look how sloppy my signature is and ask others what theirs looks like,Treatment,26,Early,Do you think giving an example of instances where someone said your name wrong/right would help?,4RafdygDw7eLBFqNv,4,178.996,AKBA41GHW86JD,6.5
gyKGbrB2EgAz3Z4mK,tell them you dont remember their name,Treatment,,Early,Why not ask the host?,7y346TFL9bQKi2Nkf,,102.571,A1KJMZABBJG6HV,
z2DBj7XL4zHT3wzHq,on credit cards,Treatment,,Early,Why not ask the host?,7y346TFL9bQKi2Nkf,,105.708,A1KJMZABBJG6HV,
AzyMpSyFS2BQ9Mwuv,tag in their coat,Treatment,,Early,Why not ask the host?,7y346TFL9bQKi2Nkf,,148.302,A2JEJCOMJOOM2E,
DY2M5mseHRK5o8sNc,on their license,Treatment,,Early,Why not ask the host?,7y346TFL9bQKi2Nkf,,247.556,A2JEJCOMJOOM2E,
rZaa6uD4Bu3EhzgTY,you could look up a name game online,Treatment,,Late,Why not ask the host?,7y346TFL9bQKi2Nkf,,394.328,A3DXL2YZRL2HWD,
96vjWQikPBic3mfsR,try to get a mental picture of when you met them before based on how they are dressed. if it made an impression on your mind it might just work.,Treatment,,Early,Why not ask the host?,7y346TFL9bQKi2Nkf,,19.119,AVE8IPM6VXRLL,
tAZLfBYvHsL4v4ndi,try sounding out their name and see if they turn their head,Treatment,,Early,Why not ask the host?,7y346TFL9bQKi2Nkf,,30.777,AVE8IPM6VXRLL,
SZgQLNZ8AgTMsfb5m,ask them what they would name their dream business,Treatment,,Late,Why not ask the host?,7y346TFL9bQKi2Nkf,,446.416,AVE8IPM6VXRLL,
sbJ63veDv2F3gZBzM,Ask to call for volunteer names for a game.,Treatment,6.5,Late,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,1,497.102,A1NITMHYG5YL3H,6.5
n4MfHiKdktAwDFbkJ,Look for nearby people through social media.,Treatment,27,Late,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,4.5,575.045,A1Y44BP9291GQP,6
xCp8LSvhJupk3tW8i,Look for party-goers that are attending this party.,Treatment,13,Late,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,2,592.189,A1Y44BP9291GQP,6.5
g6BNRSB2ipDBgMuHe,Think about something they said.,Treatment,10,Late,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,2,412.204,A25ABNB41T2WDJ,5
sXvTMPpHx3TiQNwAx,Relate certain events to them.,Treatment,22.5,Late,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,4.5,451.468,A25ABNB41T2WDJ,5
isHyKX7pJsma5gqxq,Look for other friends that may know this person on Facebook.,Treatment,13,Late,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,2,593.105,A34K11GBKWDGK0,6.5
ZQeHHZG7DBvEEqmXC,"If it is a birthday party, listen in when they sing Happy Birthday.",Treatment,10,Early,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,2,176.153,A3MTAJHYHCIJK4,5
tBncWRy3YMzz6rW9Z,Have them write down their name on a card.,Treatment,11.25,Early,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,4.5,234.502,A3R55HO5EARZVW,2.5
mY9Naz99j54BubJ3c,Have someone else ask the person's name.,Treatment,10,Early,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,2.5,243.675,A3R55HO5EARZVW,4
54ZjvQAHrRHJEMnkh,Look on a cake that their name may be written on.,Treatment,13.5,Early,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,3,252.358,A3R55HO5EARZVW,4.5
R7b2qwFrHhXAGTFoT,talk to them for a while and hope someone recognizes them,Treatment,15,Late,"Think about specific social settings (e.g., weddings, game nights, bars). What features of the social setting might you leverage? For example, who or what is in your environment that might be helpful?",8Jd2C8bLKNeBDxrJR,2.5,430.598,A3R55HO5EARZVW,6
sLH94DawWPCefgJuB,just guess,Treatment,6,Late,Can you guess their name based on their style or appearance?,8Tdvoh6ks8WRjsWL9,2,578.446,A1U6S8JAWTGDZF,3
EbwmsxAa7sH69utNd,introduce new person,Treatment,4,Early,Can you guess their name based on their style or appearance?,8Tdvoh6ks8WRjsWL9,2,188.644,A2QT68NJYAJV9P,2
CNgTB8imPhfvdqGFK,ask for colors,Treatment,,Early,Why not get them talking?,ActpFCdFSEKTaAfT5,,249.486,AQY4X23DGYXAP,
RJYWK9TGiKxr7aBnw,any family names,Treatment,16,Early,How can you trick them into saying their name?,atewnqzW7kg3imBRC,4,141.062,A2E2IQ99W6B7AV,4
GHo8hPpQcYtkCEsYK,Ask to see their pensmanship. They will probably write their name.,Treatment,18,Early,How can you trick them into saying their name?,atewnqzW7kg3imBRC,4.5,126.379,A3K43RI91Y567E,4
PABzkJJpPRoP5pF2M,take them to meet someone else and let them introduce themselves,Treatment,12.5,Early,How can you trick them into saying their name?,atewnqzW7kg3imBRC,5,152.792,A3K43RI91Y567E,2.5
ov2x5PtNDxmx7DsS5,stand close to them and wait til they introduce themselves to someone so you can overhear their name,Treatment,12,Early,How can you trick them into saying their name?,atewnqzW7kg3imBRC,3,164.413,A3VJY2IKOZ17GJ,4
4KXKGve37QbfEhWi5,"Introduce them to someone else as ""blondie"" and hope they correct you!",Treatment,12.25,Late,How can you trick them into saying their name?,atewnqzW7kg3imBRC,3.5,405.044,A3VJY2IKOZ17GJ,3.5
fC3zkJAtxPhExiWBc,Going through the alphabet until I get there,Treatment,,Early,what about reminding them of situation you met them?,c6bD7W9Ex45GzB8Ln,,160.895,A1HBU82366WX00,
kf92Ap6EQRaLQWWWg,"Tell them you always wished you'd been called something different and ask them if they ever wished the same, and hope they give up their actual name",Treatment,,Early,what about reminding them of situation you met them?,c6bD7W9Ex45GzB8Ln,,190.309,A1HBU82366WX00,
jpGAb6jSsqAbuk4ey,my cellphone,Treatment,,Early,what about reminding them of situation you met them?,c6bD7W9Ex45GzB8Ln,,48.419,A1L3CBYMK1QS2Z,
jjLffGtnqwBRfSmdC,Relate their name with something they do,Treatment,,Early,what about reminding them of situation you met them?,c6bD7W9Ex45GzB8Ln,,113.631,A2FUMA4UR6S920,
PLpnETcLwdHBEZyxo,ask them about a time their mother scolded them,Treatment,,Early,what about reminding them of situation you met them?,c6bD7W9Ex45GzB8Ln,,99.843,A2I6SK5KL0WMJS,
4mSp4oMo3wAwDuKiQ,talk to them about their significant other,Treatment,,Early,what about reminding them of situation you met them?,c6bD7W9Ex45GzB8Ln,,115.683,A3FYQPY2QZ7NRR,
MAzyKbyJEaLDzniLQ,suggest a game that involves writing down names and trading of some sort,Treatment,,Late,what song has their name in,cHbBe6CmLPSNREtvR,,438.01,A14SABDOE6QHMK,
2Mzs22xky7DQYrMho,ask for their facebook account so you can friend them,Treatment,,Early,ask them to show you driver license to see when they pass the test,Cm4pRSF9m7ExXicTZ,,290.482,A14SABDOE6QHMK,
M4dwuHzqdEip3sXwq,"ask if they have twitter and look them up, ask what name they use",Treatment,,Late,ask them to show you driver license to see when they pass the test,Cm4pRSF9m7ExXicTZ,,425.702,AKDPKZLO2EZS5,
PCvQjuaZS76vfoWRw,tell them to friend you on facebook/ello/g+,Treatment,12.25,Early,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3.5,289.823,A18FK1XR73EQ2W,3.5
CBjzRJanT8Wdv3DnN,Ask if they have a favorite song that has their name in it,Treatment,16.5,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,5.5,320.276,A18FK1XR73EQ2W,3
DRBoyPXt3dNdQmw7S,Look them up on Facebook on a friend's page,Treatment,13.5,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3,340.346,A18FK1XR73EQ2W,4.5
Dnb64dodMRzfMFqWK,Ask them to send you a Facebook request,Treatment,13.5,Early,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3,268.553,A1F4D2PZ7NNWTL,4.5
TDn4WDk2R8jZpFE58,Ask to see what their signature looks like,Treatment,10,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,2.5,482.245,A1LOD3LNX7FUPJ,4
wYsN3zXG9NRoECeEA,Distract them while someone else steals their ID,Treatment,24,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,6,598.41,A1QJW2DB0W14FB,4
ryxENMjAn3J73MhTj,Ask how many exes have their names tattooed on them and if they have pictures,Treatment,9,Early,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3,222.974,A23V8NHNBQNSOZ,3
dKuQqbLxryXKXQrGR,Ask about a time their mother yelled at them,Treatment,13.5,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3,545.511,A27LGC4MU1R7PQ,4.5
Mz7zfZaLNZCvrp67P,Just take a guess,Treatment,17.5,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3.5,556.295,A27LGC4MU1R7PQ,5
6ZtogJthRYEnSMkpD,ask them specific personal questions,Treatment,24,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,6,472.466,A34K11GBKWDGK0,4
xEi6XZfCpx7BBZZX5,ask a partner of theirs,Treatment,13.5,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3,573.449,A3MTAJHYHCIJK4,4.5
TX2rS6kDRGRAEhpm6,Perhaps I entered their contact info and name into my phone and could check that.,Treatment,13.5,Early,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3,179.707,A3R55HO5EARZVW,4.5
RYZn7y57XFvWKJ5t9,I will deduct the name out of my memory!,Treatment,17.5,Early,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3.5,195.203,A3R55HO5EARZVW,5
67ucNs288hbxNm26n,Make up a party game - everyone shouts out their own name. Whoever is loudest has to take a drink. Be sure to stand next to the person whose name you've forgotten.,Treatment,14,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,4,456.722,A3R55HO5EARZVW,3.5
LDrseEyLYYDEJy4DD,Play red rover!,Treatment,11,Late,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,2,370.613,A3V3108A3ODROZ,5.5
nFJbD7dP77QtWZJgZ,"Rifle through any personal files or bags the individual may have laying around in the house, in hopes their name will be inside.",Treatment,9.75,Early,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,6.5,147.128,A3VP9WXGRZWLRB,1.5
ToteCbjYtJNv7ojd5,Ask them if they have any nicknames,Treatment,15,Early,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3,170.943,A3VP9WXGRZWLRB,5
L48r8Jgs8tDhooLAH,Play songs that have specific names in them and hope that I get lucky and they mention something about it.,Treatment,4.5,Early,"People's names often mean something (e.g., associated with Nicknames, named after family members). How might you exploit this fact?",cmfLKQsKH6vy4aXR9,3,192.084,A3VP9WXGRZWLRB,1.5
Rnns6aQfbEfiA5Mi7,Double check phone contacts to see if any of the names spark your memory or if there's a picture of them,Treatment,,Early,how did you get your name,CnckPGwbuaTnWuCWm,,169.832,A14SABDOE6QHMK,
SeAkfvcGvNTb6AA6J,Log onto Facebook and see if we have mutual friends,Treatment,,Early,how did you get your name,CnckPGwbuaTnWuCWm,,179.271,A14SABDOE6QHMK,
ktjdjWt8ihda8hvnk,Look for tagged Instagram or Facebook posts or tweets from that night or a previous occasion to see if you can find them tagged,Treatment,,Late,how did you get your name,CnckPGwbuaTnWuCWm,,458.676,AKDPKZLO2EZS5,
d733PpPkNQjgqGmsZ,Submit a group photo and hope that he/she tags him/herself,Treatment,,Late,how did you get your name,CnckPGwbuaTnWuCWm,,572.078,AYC97GMI4V7Y4,
GCLSQiXDKKARk5ueH,Tell them an interesting story about how you were named and hope that prompts them to talk about their own name,Treatment,14,Late,What conversation prompts might get them to tell a story where they'd say their own name?,CSbyzPrGjbhfBvDFx,4,596.4,A2ZV96GRXVSXK4,3.5
WYerQ96zhpwAwroNB,Start gossiping with someone else and hope their name comes up,Treatment,15.75,Late,What conversation prompts might get them to tell a story where they'd say their own name?,CSbyzPrGjbhfBvDFx,4.5,588.466,A3O60DDW7E1DEZ,3.5
op9PzeEDndDDhaS2m,Ask someone who doesn't know him/her to ask for their name and introduce him/herself.,Treatment,18,Late,What conversation prompts might get them to tell a story where they'd say their own name?,CSbyzPrGjbhfBvDFx,4,458.299,AKCQDBUVS7LN0,4.5
yDJsoYoErwwwgtXaJ,Tell everyone you do handwriting interpretation and ask for a signature,Treatment,15.75,Late,What conversation prompts might get them to tell a story where they'd say their own name?,CSbyzPrGjbhfBvDFx,4.5,501.332,AKCQDBUVS7LN0,3.5
Nfnpde6YcxwyT7PJb,Have everyone sign a guestbook,Treatment,14,Early,What conversation prompts might get them to tell a story where they'd say their own name?,CSbyzPrGjbhfBvDFx,3.5,240.818,AV2Y6GPZ2ARU7,4
Y4EgfksDiyzhn4Dn9,"If there are gifts at this social event, see if there's a to/from tag",Treatment,5,Early,How do you trigger your memory?,cSh4aj67DEfhirRRC,2,207.271,A1U6S8JAWTGDZF,2.5
Nt7fG9TQxr4fMm8Ay,try to get clues,Treatment,3.75,Early,How do you trigger your memory?,cSh4aj67DEfhirRRC,1.5,248.248,A2E2IQ99W6B7AV,2.5
qEXpvcuphiqrXb7uf,call them buddy,Treatment,9,Early,How do you trigger your memory?,cSh4aj67DEfhirRRC,3,257.043,A2E2IQ99W6B7AV,3
hwstZiCo23n66HnF4,"use generics like ""Hey Dude!""",Treatment,15,Early,How do you trigger your memory?,cSh4aj67DEfhirRRC,5,147.481,AKCQDBUVS7LN0,3
qWrB2vF4mQMYC7giR,call them bro,Treatment,21,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,6,420.813,A18FK1XR73EQ2W,3.5
cdcXNHy9YgSNCYbNe,check cell phone,Treatment,13.5,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,4.5,476.814,A18FK1XR73EQ2W,3
q3sJkRzJBv7c45jL9,check facebook on your phone,Treatment,16.5,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,5.5,509.717,A18FK1XR73EQ2W,3
TiYBTKXXQFgNAexqw,text my wife and ask her,Treatment,33,Early,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,5.5,282.261,A1FKZ2HY4XKMG1,6
sMzFCTGX5RvFQoqTn,ask them for a signature,Treatment,15,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,2.5,329.071,A1FKZ2HY4XKMG1,6
vhD5p9DgHoSwh2pWs,call them by the wrong name,Treatment,15.75,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,3.5,577.407,A1LOD3LNX7FUPJ,4.5
xXXRq2abnsQvxEtsC,ask a friend,Treatment,26,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,4,346.883,A1NITMHYG5YL3H,6.5
t5BGNtw7Qr6umeXut,tell them you are collecting signatures,Treatment,24,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,4,367.623,A1NITMHYG5YL3H,6
hQDAqykLjtykStDjQ,ask for a donation to a charity and say you need a check,Treatment,26,Early,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,4,130.955,A1Y44BP9291GQP,6.5
3AXHSsemnD6YAG3DP,try to look them up on facebook or twitter by mutual friends,Treatment,9.75,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,1.5,446.074,A1Y44BP9291GQP,6.5
mwraoW25SzF4e7gex,if you are sure that you have their phone number pretend you don't and have them text you,Treatment,15,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,6,343.397,A25ABNB41T2WDJ,2.5
Tsdjz66LRrfAGBKLq,"Phone! see if contacts have pics, match pic to name",Treatment,15,Early,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,6,226.697,A27LGC4MU1R7PQ,2.5
ZgHd96bcYcnDpcDYT,can you eliminate possible names? narrow it down?,Treatment,22,Early,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,4,283.479,A27LGC4MU1R7PQ,5.5
QP6TT2u9LbbKqX3MD,Check social media on my smartphone to see if they are listed,Treatment,14,Early,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,4,196.779,A34K11GBKWDGK0,3.5
4yavmY3WtwBToAZZB,ask for their twitter or other social media account,Treatment,12,Early,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,4,293.528,A3MTAJHYHCIJK4,3
RZgvLYzqh35Gn8ANk,Give them MY linkedin account and ask to share details,Treatment,12,Late,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,4,349.747,A3MTAJHYHCIJK4,3
7DSDxAWqrhM5FkCG8,"Consider whether there are forms or donation sheets, etc., that they can sign",Treatment,7,Early,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,1,60.467,A3R55HO5EARZVW,7
ssxukat8PkaTpgtM5,Ask what celebrities share their initials,Treatment,19.25,Early,"What might you do if you weren't easily embarrassed (e.g., purposely call them the wrong name)?",CTLjJhJEjiPT8snoc,3.5,97.764,A6JKKANO7F4KD,5.5
ctyJMkdGgkiL62ysY,State that another member of the room has forgotten this person's name. Order them to remind this third party,Treatment,,Early,Any clues from the social setting?,cwTm6drpfufB8Mq2a,,292.763,AQY4X23DGYXAP,
vJvGqJdtPWunRfBfM,Falsify a form or other piece of material to request they write their name down,Treatment,,Late,Any clues from the social setting?,cwTm6drpfufB8Mq2a,,328.058,AQY4X23DGYXAP,
2ZnwvmjKHerxZNRPB,Discreetly remove identification from their wallet or purse and read the name there,Treatment,14,Early,Can you use your phone?,D6EcgoArodDow8pQo,4,196.393,A2E2IQ99W6B7AV,3.5
rb847bByqmsbFCdEk,Ask to tell the story of how their parents decided to name them as a baby,Treatment,6,Early,Can you use your phone?,D6EcgoArodDow8pQo,1,223.242,A2E2IQ99W6B7AV,6
W48R2JebTQLtvxT3y,Ask if they have searched for people sharing their name online or on social media,Treatment,10,Early,Can you use your phone?,D6EcgoArodDow8pQo,2.5,85.632,A3O60DDW7E1DEZ,4
6y8hbC7WTAjKvnwfE,ask for their contact,Treatment,8,Early,Can you use your phone?,D6EcgoArodDow8pQo,2,237.371,A3VJY2IKOZ17GJ,4
a7X4DGuWAgNRYyiLE,ask for their facebook,Treatment,21,Late,Can you use your phone?,D6EcgoArodDow8pQo,3,427.137,AGFQASQMLDPAH,7
xzTB34qh2XqfHky3R,ask for twitter or linkedin,Treatment,12,Early,Can you use your phone?,D6EcgoArodDow8pQo,2,141.198,APZEIAO75NCHM,6
2hRbTGewk3Ncc6oxM,ask for their handwriting,Treatment,12,Early,Can you use your phone?,D6EcgoArodDow8pQo,2,167.208,APZEIAO75NCHM,6
wgpPrx9TsASKsuFeZ,introduce a friend,Treatment,8,Early,Can you use your phone?,D6EcgoArodDow8pQo,2,144.914,AV2Y6GPZ2ARU7,4
R6F2LsmHPytSAC8Hn,make fun of their name,Treatment,,Early,Why not excuse yourself for a moment to clear your head?,DbEoXqyjwBDHuoMaj,,47.232,A39K9RKR1YHQOR,
ET6D8CNPXCb2hmSPb,ask for a signature,Treatment,,Early,Why not excuse yourself for a moment to clear your head?,DbEoXqyjwBDHuoMaj,,83.566,AQY4X23DGYXAP,
3JPtwg4tr4YXLYxGH,ask a person previously talking with them,Treatment,,Early,Why not excuse yourself for a moment to clear your head?,DbEoXqyjwBDHuoMaj,,184.728,AVE8IPM6VXRLL,
jKSFAgBhT2AmkfX6b,Look at your contacts in your phone,Treatment,15,Early,"People's names are often on objects (e.g., driver's license). What other objects might their names be on? How might you exploit this fact?",e2uJXxTNwfJ6t2E9k,6,198.966,A18FK1XR73EQ2W,2.5
yuXXdqTA928SZohCH,Ask them a story to find out their name,Treatment,15,Early,"People's names are often on objects (e.g., driver's license). What other objects might their names be on? How might you exploit this fact?",e2uJXxTNwfJ6t2E9k,2.5,222.81,A18FK1XR73EQ2W,6
DCTKtC6AS97GMFZPh,Try to put my hand over my head to try and remember there name,Treatment,15,Late,"People's names are often on objects (e.g., driver's license). What other objects might their names be on? How might you exploit this fact?",e2uJXxTNwfJ6t2E9k,3,423.266,A1FKZ2HY4XKMG1,5
eH9NikrizG46hnPoz,Guess what their name is.,Treatment,13,Late,"People's names are often on objects (e.g., driver's license). What other objects might their names be on? How might you exploit this fact?",e2uJXxTNwfJ6t2E9k,2,506.027,A1LOD3LNX7FUPJ,6.5
fYdzvTFY4yttTNy77,ask parents,Treatment,16.5,Early,"People's names are often on objects (e.g., driver's license). What other objects might their names be on? How might you exploit this fact?",e2uJXxTNwfJ6t2E9k,3,251.137,A1NITMHYG5YL3H,5.5
SBgWH7R4c2CLS8TQK,think of the bible,Treatment,18,Early,"People's names are often on objects (e.g., driver's license). What other objects might their names be on? How might you exploit this fact?",e2uJXxTNwfJ6t2E9k,4.5,295.406,A1NITMHYG5YL3H,4
nBrRuhpsgFi72ss3F,if you get a sister's name her/his name my come to your mind,Treatment,14,Late,"People's names are often on objects (e.g., driver's license). What other objects might their names be on? How might you exploit this fact?",e2uJXxTNwfJ6t2E9k,3.5,322.167,A1NITMHYG5YL3H,4
obBeRYwWmywq7QYtP,ask where do i know you from?,Treatment,13,Late,"People's names are often on objects (e.g., driver's license). What other objects might their names be on? How might you exploit this fact?",e2uJXxTNwfJ6t2E9k,2,399.864,A1QJW2DB0W14FB,6.5
QWFLbkniyX5Z3qjaC,introductions obviously would help recall a name,Treatment,17.5,Late,"People's names are often on objects (e.g., driver's license). What other objects might their names be on? How might you exploit this fact?",e2uJXxTNwfJ6t2E9k,3.5,331.327,A1Y44BP9291GQP,5
