,Unnamed: 0,cond,id,project_slug,submit_second_after_start,text,user_slug,idea_id,novelty_z,novelty_raw,value_z,value_raw,cluster_id,cluster_name
30,30,none,171,timing_task2,120,"I would use this for large billboard types of advertising on buildings vs hard-wired hard surfaced types.  They fabric can be stretched and securely attached to buildings, etc. and easily disassembled.   It can have some movement as well which would enhance the advertising and catch the eye.",MIWANCWIXP,171,0.174085452,4.75,0.400475058,5,,
31,31,idle,172,timing_task2,142,tent material that blends into different environments,U8DDMY34XX,172,0.838226487,5.75,0.982609385,6.25,,
32,32,on-demand,173,timing_task2,54,fun interactive throw pillows,5PKBVJJGBE,173,-0.305316742,4,-0.006596076,4.4,,
33,33,none,174,timing_task2,61,"record video of self reading a book. Hang in a crib for small child to show when gone, deployed.",8LG9CEMQGC,174,-0.137340509,4.666666667,0.536488126,5,,
34,34,none,175,timing_task2,174,"At prom, having videos shown of the past year that the students submitted being shown all night long.",HTCALN6RJ3,175,-1.101746936,3.5,0.092882915,4.833333333,,
35,35,on-demand,176,timing_task2,131,Use in stores for unique display signage.,KX40MULF0O,176,-0.193889985,4.75,0.241121993,5.25,,
36,36,none,177,timing_task2,82,use it to on billboards for advertising,RCYW4N6FT0,177,-0.566972592,4,-0.352188232,3.75,,
37,37,none,180,timing_task2,189,Schools can use it as a projector for classes.,HTCALN6RJ3,180,0.151220653,4.75,0.841022028,5.25,,
38,38,idle,181,timing_task2,165,hunting gear that changes its camo pattern to different environments,U8DDMY34XX,181,1.341703084,6,0.475885044,4.75,,
39,39,on-demand,182,timing_task2,146,"Attach to a canvas to make ""custom art"" that owners can change when the feel like it.",KX40MULF0O,182,0.002535059,4.75,0.081011687,4.25,,
40,40,on-demand,184,timing_task2,166,Attach to a TV input so people can use it in place of a TV on a space like a projector screen or curtains.,KX40MULF0O,184,0.100611659,4.75,0.686229057,6,,
41,41,on-demand,185,timing_task2,98,A tablecloth which would be lit up at each person's station when they set down their plate.,5PKBVJJGBE,185,0.394629237,4.75,-0.142276776,3.75,,
42,42,none,186,timing_task2,126,use the handkerchief size to show small videos during business presentations,RCYW4N6FT0,186,-1.000281745,4.166666667,-0.413273816,4.4,,
43,43,none,187,timing_task2,232,It can be used to advertise local places on the sidewalk even in teh rain.,HTCALN6RJ3,187,-0.322528198,4,0.493633485,4.75,,
44,44,on-demand,188,timing_task2,191,Market it as a home decor trend and create patterns that can be displayed on curtains and other linens for a custom and changeable look.,KX40MULF0O,188,0.616828677,5.833333333,0.498350107,5.5,,
45,45,none,189,timing_task2,127,"Have older relative, maybe mom or grandmother, do cooking video to display. in kitchen like a photo.",8LG9CEMQGC,189,-0.352546285,4,-0.260501194,3.5,,
46,46,idle,192,timing_task2,218,reusable textbook cover that changes its label depending on what book its on,U8DDMY34XX,192,0.949202331,6,0.875867346,5.666666667,,
47,47,on-demand,193,timing_task2,212,Use in the military for covert missions where people must blend in with their surroundings.,KX40MULF0O,193,0.206423101,4.5,1.019026892,6.75,,
48,48,none,195,timing_task2,182,use it as a message sender by giving the handkerchief to different people,RCYW4N6FT0,195,-0.190488683,4,-1.045754835,2,,
49,49,on-demand,196,timing_task2,237,Put in public spaces so people can interact with displays for advertising purposes.,KX40MULF0O,196,-0.088808253,4.2,-0.03535283,4,,
50,50,none,197,timing_task2,292,"During a funeral, draping the casket with the fabric and having photos being played of the person while they are being escorted to the gravesite.",HTCALN6RJ3,197,0.121796842,5,-0.482981516,4,,
51,51,on-demand,199,timing_task2,190,light up bedding that helps children who are afraid of the dark,5PKBVJJGBE,199,0.679428203,6.25,0.606419344,5.5,,
52,52,on-demand,200,timing_task2,329,fabric billboards with advertisements,V3PRPEJMGX,200,-1.164724655,2.6,-0.571299566,3.6,9,make and display more effective advertisements in stores and in the general public
53,53,idle,201,timing_task2,286,frame the fabric as a picture so it can display multiple pictures or different pieces of art,U8DDMY34XX,201,-0.164244402,4.25,0.002504286,4.25,,
54,54,on-demand,202,timing_task2,335,fabric newspapers,V3PRPEJMGX,202,0.304749749,5.4,-0.20897863,4.2,,
55,55,on-demand,203,timing_task2,270,Put them in bus stops and train stations to serve as notification services for when the next train is coming.,KX40MULF0O,203,-0.494325766,3.6,0.547346359,5.2,,
56,56,none,204,timing_task2,272,"Use for jogging at night for safety (t-shirt size).   It would give visibility to me so I would not be hit by a car, another jogger or pedestrian.",MIWANCWIXP,204,0.140740897,5,0.408819641,5.333333333,,
57,57,on-demand,205,timing_task2,341,fabric magazines,V3PRPEJMGX,205,-0.393697364,4.2,-0.784043625,3.2,,
58,58,none,206,timing_task2,233,use it for sports events by giving small cloths to fans at the games to display team colors,RCYW4N6FT0,206,0.106868871,5.4,0.505131275,5.8,,
59,59,idle,208,timing_task2,322,an indoor mural that can change,U8DDMY34XX,208,0.305996463,5.5,0.315045362,5.25,1,create novel ways for visual artists to express themselves and display their work
60,60,none,209,timing_task2,240,display master of animal on some sort of toy to keep pet interested while home alone. It will help keep interested if when touched the toy talks to pet.,8LG9CEMQGC,209,0.139032646,5.2,-0.08960322,4.6,,
61,61,on-demand,210,timing_task2,307,Make games that can be bought on your smartphone and can be played whenever the device is attached to a cloth surface.,KX40MULF0O,210,-0.026920217,4.25,0.220061141,4.5,,
62,62,none,211,timing_task2,358,"Show to kids at daycares and play movies or cartoons on it. Let it be interactive as well so if they touch it, they can create something.",HTCALN6RJ3,211,-0.840495565,3.75,-0.451184903,4.25,,
63,63,on-interval,215,timing_task2,246,"A changeable room environment. Large panels of fabric hung like wallpaper on the walls of a room could create an entire environment to resemble a bamboo forest, for example, or an alpine lakeshore. The fabric could display moving wildlife such as pandas in the bamboo forest or birds on the shore of the mountain lake. The possibilities are endless!",0W0GZS18IR,215,0.768523792,5.8,0.675880102,5.4,13,make household items/decor more visually aesthetic
64,64,on-demand,216,timing_task2,345,Reusable newspapers.  have the app update with the most current news and sell a single newspaper that will be updated whenever users refresh their feed.,KX40MULF0O,216,0.615430024,5.5,0.539645913,5,,
65,65,idle,217,timing_task2,368,camo blanket that can change patterns to be used by soldiers,U8DDMY34XX,217,0.928270846,6,0.678725916,5.25,,
66,66,none,219,timing_task2,317,use it for awareness at charity events by giving people the fabric to show their support for a cause which also displays some images about their charity,RCYW4N6FT0,219,-0.463397558,3.833333333,0.13009007,4.8,,
67,67,on-demand,220,timing_task2,310,"fun bath towels which light up when being used, and then (since they are waterproof) go back to their original color as they dry",5PKBVJJGBE,220,0.429360157,5,-0.460051861,3.4,,
68,68,on-demand,221,timing_task2,381,"Create a hard bound book with cloth pages that will serve as an ereader.  That way, people can still have the experience of reading a physical book, but it can be any book they want.",KX40MULF0O,221,0.914330758,6.2,0.461101052,5.2,,
69,69,idle,222,timing_task2,403,to be used as a backdrop for animals in a zoo exhibit,U8DDMY34XX,222,0.330841613,5.25,-0.223088599,4.5,,
70,70,on-demand,223,timing_task2,324,pocket squares,5PKBVJJGBE,223,-1.807231037,2.2,-1.767092848,1.4,,
71,71,none,225,timing_task2,331,Billboards equipped with this would be inexpensive to change advertisement or display some sort of message.,8LG9CEMQGC,225,-1.131605131,2.25,0.966645651,6.25,,
72,72,none,226,timing_task2,440,Keep in the pocket of pants when trying to surprise someone with an engagement video or something like that.,HTCALN6RJ3,226,-0.531891536,4,-0.569155172,3.5,,
73,73,on-demand,228,timing_task2,403,"Use in a room to simulate the weather outside (clouds and stars on ceilings, etc.)",KX40MULF0O,228,0.085018093,5.2,-0.640962851,3.6,,
74,74,idle,231,timing_task2,432,red carpet for events that can change colors,U8DDMY34XX,231,0.571386237,4.6,0.616726098,4.8,,
75,75,none,232,timing_task2,457,"At Halloween, project scary images in the house.",HTCALN6RJ3,232,-0.249450089,4.25,-0.565208588,3.25,,
76,76,on-interval,233,timing_task2,34,Wearable advertising.  Give free clothes to people who then generate advertising revenue in return.,MUSUBPX7JM,233,-0.212740962,4,-0.09191441,3.75,,
77,77,none,235,timing_task2,471,"Use as a quick ""set change"" for plays or theater arts.",HTCALN6RJ3,235,0.656085188,6,0.375905168,5.25,,
78,78,on-demand,237,timing_task2,434,Make soft interactive baby toys that are safe for use even when parents aren't around.,KX40MULF0O,237,0.091000711,5.75,0.360102013,6,17,make physically interactive games for the entertainment for adults and/or of children
79,79,idle,238,timing_task2,457,material can be used on shoes that allow the user to customize,U8DDMY34XX,238,0.684271595,5.5,0.355938168,5.25,,
80,80,none,240,timing_task2,397,Create a kind of interactive card like a buss pass that could give you updates when touched.,8LG9CEMQGC,240,-0.158547686,3.8,-0.296099393,3.2,,
81,81,none,241,timing_task2,412,use it as warning signs for  various locations and display what could happen in the dangerous situation,RCYW4N6FT0,241,0.25737373,5.166666667,0.332595715,5.166666667,,
82,82,on-interval,242,timing_task2,90,Wearable moodwear.  Your clothes will change to fit the color/pattern which matches your mood and disposition.  People can immediately judge how they react to you and what you say.,MUSUBPX7JM,242,0.801370335,5.4,-0.35861348,3.6,,
83,83,on-demand,243,timing_task2,475,Make bright vests that always glow for workers that work outside at night.,KX40MULF0O,243,0.332978496,5.75,1.129993495,6.75,11,"make clothing/wearables that enhance people's safety in different situations, activities, and work environments"
84,84,idle,244,timing_task2,501,car seats that change patter or colors,U8DDMY34XX,244,0.140342904,4.666666667,-1.018278868,3,,
85,85,on-demand,245,timing_task2,487,Sell to hunters as a glowing safety jacket.,KX40MULF0O,245,0.582085896,5.25,1.030724472,6,,
86,86,idle,246,timing_task2,517,table cloth that changes colors or pattern,U8DDMY34XX,246,0.634166336,5,-0.688806285,2.333333333,,
87,87,none,247,timing_task2,501,"Use for camouflage:   diving - to blend in with ocean marine life.  Make to look like water so certain species cannot see me (sharks, etc.).  Use for military Navy Diving Seals to camouflage them.   Use in military soldier uniforms to disguise them according to location type (desert, jungle, buildings, etc.).",MIWANCWIXP,247,0.504714834,5.25,0.917044737,6,,
88,88,idle,248,timing_task2,536,upholstery material that changes color or patterns,U8DDMY34XX,248,-0.260022256,4.2,-0.090985684,4.8,13,make household items/decor more visually aesthetic
89,89,on-demand,249,timing_task2,518,Make a jacket for paramedics and emergency responders that allows them to access information on the go.,KX40MULF0O,249,-0.103196894,5.333333333,-0.226560253,5.333333333,,
90,90,none,250,timing_task2,565,"Have it playing aquarium scenes and if you touch the screen, the fish swim fast away.",HTCALN6RJ3,250,0.248496414,5,-0.553852021,2.5,,
91,91,none,251,timing_task2,481,use them on a float for a parade to show whatever theme you are trying to represent during the event,RCYW4N6FT0,251,-0.737731718,3.25,0.42679783,5.5,3,enhance live show experiences
92,92,on-interval,252,timing_task2,152,Living wallpaper.  Decorate your living- or workspace with cloth panels that show live or simulated scenes from other places/desired images.,MUSUBPX7JM,252,0.052683284,4.8,-0.345779999,3.75,,
93,93,none,253,timing_task2,471,Make Tee shirts with an interactive game to amuse small children.,8LG9CEMQGC,253,-0.65413994,2.75,-0.261673861,3.25,,
94,94,idle,254,timing_task2,559,phone and tablet cover material that changes color or pattern,U8DDMY34XX,254,0.006276876,4.75,-0.725853069,3.5,,
95,95,on-demand,255,timing_task2,546,Make seat back displays that children can play games on while in the car.,KX40MULF0O,255,-0.135478625,3.75,0.228081271,4.5,,
96,96,on-demand,256,timing_task2,572,Sell to food trucks and other vendors as a portable marketing tool for their advertising.,KX40MULF0O,256,-0.211370997,4.25,0.184629482,4.666666667,,
97,97,on-demand,257,timing_task2,512,billboard about home owners insurance that only shows up during strong winds--with a message about insurance for wind damage,5PKBVJJGBE,257,1.106846546,6,0.128360838,4.333333333,,
98,98,idle,260,timing_task2,622,car cover that displays a picture of the car underneath,U8DDMY34XX,260,-0.976127907,3.333333333,-1.101557955,2.666666667,,
99,99,none,261,timing_task2,553,use it to teach young children learning lessons during preschool by loading teaching images on the fabric that they can touch as they learn,RCYW4N6FT0,261,0.602111576,5.25,1.100155888,6.666666667,,
100,100,none,262,timing_task2,607,Use for wearable art and fashion statements.   Fashion - colors could be easily blended and displayed on models.,MIWANCWIXP,262,-0.143600283,4.6,0.126923948,4.2,,
101,101,on-demand,263,timing_task2,536,clothing for people who enjoy going to raves,5PKBVJJGBE,263,-0.068849142,4.5,-1.182557938,2.75,10,make clothing/wearables that are fun and add to entertainment experiences
102,102,on-interval,264,timing_task2,508,Wearable sandwich board for advertising. Video content and messages could be tailored to the demographics of the area of the city where workers are sent to spread messages about sales and other retail offerings.,0W0GZS18IR,264,0.36456984,5.25,0.28791108,4.75,,
103,103,on-interval,265,timing_task2,226,"Informative sports wear.  Displays shows your current fitness level and activity.  Calories burned, distance travelled, time left to exercise can all be seen readily",MUSUBPX7JM,265,0.273748566,4.5,0.380448344,4.833333333,,
104,104,none,266,timing_task2,565,Make a baby blanket that when touched displays the voice and image of a parent to comfort a child.,8LG9CEMQGC,266,0.939321356,5.75,0.754670891,5,,
105,106,on-demand,269,timing_task2,634,Use in art classes in schools where buying art supplies is expensive.  Allow students to use an app that simulates painting and drawing on canvas.,KX40MULF0O,269,0.231762534,5.6,0.566916724,5.6,,
106,107,none,271,timing_task2,694,Craft stores can show crafts in store on the screen that is hanging up near different craft things.,HTCALN6RJ3,271,-0.687323222,4.2,-0.375353926,4.4,,
107,108,idle,272,timing_task2,671,holders for different foods that display the food on the outside,U8DDMY34XX,272,0.072677277,3.666666667,-0.390948756,2.666666667,19,make products that are useful in a household kitchen
108,110,idle,274,timing_task2,697,multiple games in one,U8DDMY34XX,274,0.00777577,3.333333333,-0.040735998,3,,
109,111,on-interval,275,timing_task2,309,The ultimate Halloween costume.  Basic coverall displays the viewer's worst fears.,MUSUBPX7JM,275,0.152337615,5,-0.787513296,3.2,,
110,112,idle,276,timing_task2,35,put it on a wall as a poster that can change the picture intermittently,3P13IFYMX5,276,0.60803476,5.4,-0.19905165,3.8,,
111,113,none,277,timing_task2,744,Meetings can use them as individual projectors and set them in front of each person.,HTCALN6RJ3,277,0.49310308,6.333333333,0.710601918,6.333333333,,
112,114,idle,278,timing_task2,723,picnic blanket that changes depending on where you are,U8DDMY34XX,278,-0.236983958,3.75,-0.86878929,2.5,,
113,115,idle,279,timing_task2,53,put a picture of your spouse on it and was yourself with it,3P13IFYMX5,279,-0.422893523,3.4,-0.685164267,2.6,,
114,116,none,280,timing_task2,650,Make clothing completely out of fabric where it can be changed to any color or print to fit any occasion.,8LG9CEMQGC,280,0.420332072,5,0.412585902,5.2,,
115,117,idle,281,timing_task2,739,socks that change color or pattern,U8DDMY34XX,281,-0.08187736,4.75,-0.926581388,2.5,,
116,119,on-demand,283,timing_task2,721,Replace control devices on motorized wheelchairs with a sensitive touchpad/armrest for those with mobility issues.,KX40MULF0O,283,0.339317958,5.25,0.522260961,5.5,,
117,121,none,285,timing_task2,776,"Put it on a shirt and have ""image changing"" clothing.",HTCALN6RJ3,285,0.125879295,5.25,0.087589969,4.75,12,make clothing/wearables that help people express themselves
118,122,idle,286,timing_task2,757,fabric clock to hang on the wall,U8DDMY34XX,286,-0.378595918,4,-0.135132198,4,,
119,124,on-interval,288,timing_task2,657,Wall sized paint chips. The fabric could project exact shades of color from the paint selection offered by a manufacturer so consumers could see how the choices look on site with the actual lighting of the room.,0W0GZS18IR,288,0.168748171,4.8,0.378839415,5.25,,
120,125,on-demand,289,timing_task2,756,Make apparel for athletes that monitors your body and provides information to an interactive app.,KX40MULF0O,289,0.607000702,5,0.33306938,4.6,,
121,126,idle,290,timing_task2,776,portable fabric TV that you can take anywhere,U8DDMY34XX,290,0.183795191,4.6,0.643399402,5,,
122,127,none,291,timing_task2,719,use it for people with speaking disabilities who cannot otherwise communicate easily.  They can load simple images or identifying information on a handkerchief.  Like Alzheimer's patients who get lost,RCYW4N6FT0,291,0.897517182,6,1.409974324,6.2,2,enhance human-to-human communication
123,128,on-demand,292,timing_task2,777,Make hospital linens that can monitor patients vital statistics. Make them so they can change color should something be wrong.,KX40MULF0O,292,1.417661094,6.8,1.617505583,7,,
124,129,idle,294,timing_task2,123,put a picture of the family on it and use it for your baby to make the baby feel safe,3P13IFYMX5,294,0.744416594,5.333333333,0.735563288,5.333333333,,
125,130,on-interval,295,timing_task2,400,Rave-wear.  Clothing that when worn at music events like raves or concerts changes colors and patterns in time with the music.,MUSUBPX7JM,295,0.442869451,5.5,-0.727472256,3,,
126,131,idle,296,timing_task2,804,fabric computer monitor,U8DDMY34XX,296,0.234327411,4.75,0.040010786,4.75,,
127,132,none,298,timing_task2,833,Party favors.,HTCALN6RJ3,298,-0.718785881,3.75,-0.410280788,3.75,,
128,133,idle,300,timing_task2,148,put weird pictures on it to make a great costume for Halloween,3P13IFYMX5,300,0.113919029,4.8,-0.554374284,3.4,,
129,134,none,301,timing_task2,741,Create napkins in restaurants that can display desert menus while eating dinner.,8LG9CEMQGC,301,0.598549761,6,0.082850109,4.25,,
130,135,idle,302,timing_task2,825,fabric monitor for doctors in the field,U8DDMY34XX,302,0.116164785,4,0.751249412,5,,
131,136,idle,303,timing_task2,843,fabric xray display,U8DDMY34XX,303,-0.015697394,4.8,-0.683644768,3.8,,
132,137,idle,305,timing_task2,181,"using the touch feature, have it change pictures depending on where you touch it",3P13IFYMX5,305,0.098247788,4.333333333,0.058426257,4,,
133,138,on-demand,306,timing_task2,780,bed sheets (sold in adult stores) which display an array of colors during love making,5PKBVJJGBE,306,0.080678697,4.6,-0.475694458,3.4,13,make household items/decor more visually aesthetic
134,139,none,307,timing_task2,873,"Use for a tent - sides and canopy can show different designs, colors, etc.   Large event tents to advertise company logo, scenes, etc.   Wedding tents for something different and can show pictures of bride and groom when younger and dating memories leading up to wedding.   A kaleidoscope on the tent, or billboard(s)  for rock concerts, special events (grand openings), etc.",MIWANCWIXP,307,-0.17327237,4,0.38823301,4.4,,
135,140,idle,308,timing_task2,220,you can have different colored shirts or pants very easily without needing to buy duplicates,3P13IFYMX5,308,0.318109817,4.666666667,0.21196356,5,12,make clothing/wearables that help people express themselves
136,141,idle,309,timing_task2,900,book,U8DDMY34XX,309,-0.95961044,3.25,-0.435931045,3.75,,
137,142,on-demand,310,timing_task2,893,"A dog collar that displays the dogs information (address, phone number, etc.) and glows in the dark.",KX40MULF0O,310,-0.19636195,4.5,-0.40483524,3.25,,
138,143,on-interval,311,timing_task2,515,Re-usable newspapers.  The newspaper receives the display from the news organization.  Only one newspaper ever needed to purchase.  Cut down on printing costs but preserve the feel of newspaper for those who like that.,MUSUBPX7JM,311,-0.178954176,3.75,-0.027585455,4.5,,
139,144,on-interval,312,timing_task2,807,Wearable countdown clock for transit workers. The fabric could be used with wi-fi transmission of the subway arrival times to enhance the visibility of arrival information in subway stations. If passengers were unable to see a countdown clock from where they were standing on the platform they would be able to look for a transit worker whose clothing would display the same information.,0W0GZS18IR,312,0.281312003,5,-0.200492514,5,,
140,145,on-demand,313,timing_task2,907,A childrens backpack that can be changed with what they want on it.,KX40MULF0O,313,0.61885285,5,-0.599155715,3.5,,
141,147,idle,316,timing_task2,279,put it on a pillow so you can sleep on your favorite picture,3P13IFYMX5,316,0.134289228,4.8,-0.774962435,3,,
142,148,on-demand,317,timing_task2,868,umbrellas that change colors when rain drops hit them,5PKBVJJGBE,317,0.444587022,4.75,-0.125282542,4,,
143,149,idle,319,timing_task2,298,"make a ""welcome mat"" with your favorite picture or video",3P13IFYMX5,319,-0.066378518,4.75,0.339268133,5.5,,
144,150,on-interval,322,timing_task2,589,Car seat multimedia centers.  Car fabric can be used to generate gaming/tv screens for passengers to watch.,MUSUBPX7JM,322,0.712675714,5.6,0.633239266,5.2,,
145,151,none,323,timing_task2,27,Replace current projector screens.,YPCSL1SZSZ,323,-0.984955791,3.2,0.089044296,4.6,,
146,152,idle,325,timing_task2,325,"use it as a rug where everytime you step on it, the picture changes",3P13IFYMX5,325,0.624898361,5.8,0.252932429,5.2,,
147,153,on-interval,326,timing_task2,886,Personalized dog bed. The fabric could display images of the dog taken at various times so the dog would al;ways be there even if not in the bed.,0W0GZS18IR,326,-0.377633347,5,-1.281508498,2.5,,
148,154,none,328,timing_task2,59,Create a water game that has animals displayed on the fabric underwater.,YPCSL1SZSZ,328,0.230669273,5,-0.438028891,3.5,,
149,155,none,330,timing_task2,112,"Create shirts out of the fabric and play a game where if you get ""displayed"" you are out.",YPCSL1SZSZ,330,-0.734182214,3.2,-0.83989881,2.6,,
150,156,on-demand,332,timing_task2,157,"Workers outfits that can change depending on the season or possible sales they have. A simple touch can even change it through out the day, such as if a restaurant's specials have changed and it needs to be updated.",9PS4EXNUBG,332,0.129494997,5,0.145939892,4.333333333,,
151,157,none,337,timing_task2,195,Put a small piece in a car where it can display directions through touch.,YPCSL1SZSZ,337,-0.297032804,4,0.161750893,4.5,20,make traveling/navigation easier / more comfortable
152,158,on-interval,339,timing_task2,781,Construction coverings.  The cloth covering shows what the building will look like when its finished.,MUSUBPX7JM,339,0.63223212,5.75,0.543936169,5,,
153,159,on-demand,341,timing_task2,262,A tent could have it to produce stars inside the tent. So little kids could camp indoors and still see the stars.,9PS4EXNUBG,341,-0.030511977,5,-0.28810258,4.666666667,,
154,161,idle,344,timing_task2,535,use it as a couch covering with favorite pictures,3P13IFYMX5,344,-1.04260315,2,-0.96646579,2,,
155,162,idle,346,timing_task2,21,Fashion (Change the color and or pattern of your outfit),WFFNICSX11,346,0.830318072,6.25,0.4786357,5,,
156,163,idle,349,timing_task2,48,Crime (chameleon like matching your scenery so you blend in),WFFNICSX11,349,0.057420114,4.666666667,0.14141211,4.5,,
157,164,on-demand,351,timing_task2,352,"Have clothes that will allow the designs to change, so someone can have a different a different look every day of the week with the same clothes.",9PS4EXNUBG,351,0.527959574,4.8,0.554683856,4.6,,
158,165,idle,353,timing_task2,100,"Hat that changes color when you touch it for staying cool/warm (one touch light, another dark).",WFFNICSX11,353,0.512657636,5.2,-0.187356835,4.4,,
159,166,idle,354,timing_task2,144,"Animated Building coverings, changing color/looks much faster then painting.",WFFNICSX11,354,0.533091378,5.25,0.704377042,5,,
160,167,idle,357,timing_task2,214,Wearable watch on your long sleeve shirt.,WFFNICSX11,357,-0.238990122,4.8,-0.411601723,3.6,,
161,168,idle,360,timing_task2,241,Heads up display on the brim of your hat.,WFFNICSX11,360,-0.805443833,4.5,-0.816214316,4,,
162,169,on-demand,361,timing_task2,527,"Use it on interior of cars. That way when a salesman is showing cars to customers, they can easily show how different colors of interior would look.",9PS4EXNUBG,361,0.150994291,4.8,-0.055242617,4.4,,
163,170,idle,364,timing_task2,303,"Interchangeable Uniform (one outfit programmed for the division, FBI/SWAT etc without having to print different sets)",WFFNICSX11,364,0.027694274,4.5,0.38981653,4.75,12,make clothing/wearables that help people express themselves
164,171,on-demand,373,timing_task2,646,People can drape a large fabric anywhere and use it as a movie screen. That way it is very portable.,9PS4EXNUBG,373,0.327132663,5.5,-0.428978272,4,,
165,172,idle,376,timing_task2,400,Reusable media (download your favorite book/newspaper to it to take with you traveling).,WFFNICSX11,376,-0.212482545,4.2,0.686854597,5.5,,
166,173,on-interval,378,timing_task2,30,clothes that change color/pattern with emotion using the touch sensor,IDPV4M2BSN,378,0.598290026,6.5,-0.36723702,4.75,12,make clothing/wearables that help people express themselves
167,174,idle,379,timing_task2,431,"Decoration, Cover your living room with it and change your colors depending on your mood.",WFFNICSX11,379,0.387714,5.25,0.611429212,5.25,,
168,175,on-interval,383,timing_task2,82,clothes that change color depending on the weather forecast,IDPV4M2BSN,383,0.356686063,5.333333333,0.302071618,4.666666667,,
